Sub,Percept,Cond,dB,Rep,Mean,dur_1,dur_2,dur_3,dur_4,dur_5,dur_6,dur_7,dur_8,dur_9,dur_10,dur_11,dur_12,dur_13,dur_14,dur_15,dur_16,dur_17,dur_18,dur_19,dur_20
Sub004,AM ,db002,2,2,18.6402243385659,2.60308343632914,27.0702600955724,31.7165759242143,28.0983030578705,3.71289917884314,,,,,,,,,,,,,,,
Sub004,SIM,db004,4,2,20.6132285686515,10.8596681049235,37.9949859355347,21.1748112468244,12.4234489873234,,,,,,,,,,,,,,,,
Sub004,AM ,db004,4,2,31.7415605990959,38.4969694597894,14.3604785478815,42.3672337896169,,,,,,,,,,,,,,,,,
Sub004,SIM,db006,6,2,6.82454334995703,16.6996443545986,3.97464931862169,3.53289840256275,3.09098132404506,,,,,,,,,,,,,,,,
Sub004,AM ,db006,6,2,30.0181248598607,43.0132814487315,13.4884630966972,10.1166242332229,17.4714025747485,66.0008529459033,,,,,,,,,,,,,,,
Sub004,SIM,db0.5,0.5,3,178.346752181524,178.346752181524,,,,,,,,,,,,,,,,,,,
Sub004,AM ,db0.5,0.5,3,0,0,,,,,,,,,,,,,,,,,,,
Sub004,SIM,db001,1,3,177.650192097275,177.650192097275,,,,,,,,,,,,,,,,,,,
Sub004,AM ,db001,1,3,0,0,,,,,,,,,,,,,,,,,,,
Sub004,SIM,db002,2,3,22.7674851504333,5.17552401320199,74.0042073104428,11.2690260025001,10.3482431527755,25.7051918711277,10.1027185525518,,,,,,,,,,,,,,
Sub004,AM ,db002,2,3,8.35256703356063,8.69591051092993,6.72377704590735,8.78074061623147,5.32943375490959,12.2329732398248,,,,,,,,,,,,,,,
Sub004,SIM,db004,4,3,13.4263562529531,12.3397063158736,4.76644102146929,19.9294316377809,16.5988167821515,13.49738550749,,,,,,,,,,,,,,,
Sub004,AM ,db004,4,3,22.2244694429484,3.54775807387568,23.0088762189121,4.14431883175621,26.8080149969637,53.6133790932345,,,,,,,,,,,,,,,
Sub004,SIM,db006,6,3,0,0,,,,,,,,,,,,,,,,,,,
Sub004,AM ,db006,6,3,178.359355507788,178.359355507788,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db0.5,0.5,1,178.536953627003,178.536953627003,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db0.5,0.5,1,0,0,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db001,1,1,57.8396739156585,94.2976595849105,11.1818722486673,68.0394899133976,,,,,,,,,,,,,,,,,
Sub005,AM ,db001,1,1,2.37736903712869,2.03613578571321,2.71860228854416,,,,,,,,,,,,,,,,,,
Sub005,SIM,db002,2,1,16.7786939753053,10.095219886872,6.57308620486674,17.3104903422873,33.0679634292298,6.35245767803644,16.1065118387298,27.9451284471152,,,,,,,,,,,,,
Sub005,AM ,db002,2,1,10.2780481816892,2.1776420572196,10.9083135596129,14.3006329408315,4.16470512001706,2.11746664558041,27.9995287668737,,,,,,,,,,,,,,
Sub005,SIM,db004,4,1,14.704405708946,7.60141857531039,3.97020324615141,7.58980648004899,39.656194534273,,,,,,,,,,,,,,,,
Sub005,AM ,db004,4,1,23.8621486241693,30.7322061377072,20.845612928661,18.4512790178078,27.0233473719532,22.2582976647175,,,,,,,,,,,,,,,
Sub005,SIM,db006,6,1,0,0,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db006,6,1,177.503214105044,177.503214105044,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db0.5,0.5,2,178.856276141971,178.856276141971,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db0.5,0.5,2,0,0,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db001,1,2,173.576644672579,173.576644672579,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db001,1,2,4.81598971948324,4.81598971948324,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db002,2,2,14.4393871980491,1.69212245132303,16.8627944926352,16.6900501803934,23.8192912384325,6.55140274457244,27.6185654945075,12.5925507954985,9.68832018703051,,,,,,,,,,,,
Sub005,AM ,db002,2,2,7.90278270539142,2.80857413324702,5.46667573418881,7.47910518956269,11.0338405692264,9.81982245834843,15.7464396877735,10.235616563155,0.632187307629465,,,,,,,,,,,,
Sub005,SIM,db004,4,2,12.4062497253279,2.54594811688003,5.63963208529776,12.7247215827019,7.20256512496326,33.9183817167964,,,,,,,,,,,,,,,
Sub005,AM ,db004,4,2,23.3994675611008,22.2999782187003,15.1432179801259,42.4208846415531,22.3282105042326,14.8050464608918,,,,,,,,,,,,,,,
Sub005,SIM,db006,6,2,0,0,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db006,6,2,178.141642284335,178.141642284335,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db0.5,0.5,3,176.407333080341,176.407333080341,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db0.5,0.5,3,1.22766975700188,1.22766975700188,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db001,1,3,177.716843424534,177.716843424534,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db001,1,3,0,0,,,,,,,,,,,,,,,,,,,
Sub005,SIM,db002,2,3,10.3424105001903,5.69438879716245,17.1856857404341,4.73220710006217,9.13454106737345,9.933288915307,16.8421779631626,12.9679061049551,8.25949836287373,9.2424589066427,9.43195204392941,,,,,,,,,,
Sub005,AM ,db002,2,3,6.67487445569714,1.38923920390152,12.7873253365915,2.89077592431795,4.13454684150292,7.1147354823147,8.18965288820345,8.5419120003412,11.7172389524062,4.65759540225326,3.95373895737794,8.04685802345784,,,,,,,,,
Sub005,SIM,db004,4,3,10.0938145920594,2.34017482139507,7.25872013852813,12.9143613187211,12.8415938137259,15.1142228679269,,,,,,,,,,,,,,,
Sub005,AM ,db004,4,3,25.7268298457057,20.0735149339839,19.1999186489306,34.3532458467171,14.0842471160631,40.9232226828335,,,,,,,,,,,,,,,
Sub005,SIM,db006,6,3,0,0,,,,,,,,,,,,,,,,,,,
Sub005,AM ,db006,6,3,178.172841189304,178.172841189304,,,,,,,,,,,,,,,,,,,
Sub006,SIM,db0.5,0.5,1,12.9798217406442,3.30427386399242,8.81476789689077,9.8445615384644,10.7073122848524,15.016058547295,18.4892185428434,18.5805723014764,12.0016193277424,20.0600113622404,,,,,,,,,,,
Sub006,AM ,db0.5,0.5,1,6.89186742256647,2.14778033729272,2.07958604491068,6.0232605138408,8.33099501722972,9.57763005225934,12.561774241718,8.79818807234187,10.9570233368613,1.55056918664377,,,,,,,,,,,
Sub006,SIM,db001,1,1,6.08846267478441,9.17198524512605,4.20853111127144,4.62668625172228,4.65043275635799,4.47072619214487,2.85236722426816,5.00567566674545,7.81684338232844,5.64438176998738,6.23634742792274,5.30387256070389,11.0913508715603,5.28574526447665,5.83131660519757,11.6512876510551,3.56785281568227,,,,
Sub006,AM ,db001,1,1,5.3320501679369,2.85481417989649,2.08024237307291,3.77947598323408,7.37782335790325,2.86362103881402,5.01519274587372,1.76120369173441,3.7293871736274,8.26646730886023,11.8006930902375,4.35244790194702,7.07689176327403,6.29849041314992,6.41433233365751,6.3096691637711,,,,,
Sub006,SIM,db002,2,1,8.1637436111461,7.86475469654761,12.0570088052555,11.8950125154661,7.21970986189262,6.27748566648006,8.49570740210402,10.251163250241,7.22652271501829,6.93115258731632,6.1595964897042,5.98740882860875,7.59940051511876,,,,,,,,
Sub006,AM ,db002,2,1,6.71716827439271,14.2510368605581,5.98018825647341,5.35057868190961,4.90032633560077,8.00864422041559,4.26418844509499,4.33297041743572,7.1003392953553,5.61112748901905,11.047331974698,3.90450168621101,5.85478562994103,,,,,,,,
Sub006,SIM,db004,4,1,6.44806916842728,4.08036940432794,3.37013155113164,6.9362655954119,2.44877961777092,5.62770378492132,17.4217152235087,5.2515190019185,,,,,,,,,,,,,
Sub006,AM ,db004,4,1,16.6917013142283,19.9777977591821,6.97098650998669,10.302619249791,22.3750123101636,6.78689223482979,13.977637686965,20.0975000184444,33.0451647444643,,,,,,,,,,,,
Sub006,SIM,db006,6,1,0,0,,,,,,,,,,,,,,,,,,,
Sub006,AM ,db006,6,1,176.712001855427,176.712001855427,,,,,,,,,,,,,,,,,,,
Sub006,SIM,db0.5,0.5,2,23.1913550830213,40.9928214508327,3.57922692497959,6.6123050944334,34.6962121268007,32.1221206649388,13.8931535605807,30.4436457585834,,,,,,,,,,,,,
Sub006,AM ,db0.5,0.5,2,2.79880333989543,1.94093880589935,4.11051045714339,2.90447858961852,3.39529817540097,1.4682365719782,2.97335743933218,,,,,,,,,,,,,,
Sub006,SIM,db001,1,2,15.3998967630455,1.72955815256864,11.6765126583778,7.51982120671528,13.8284394755392,19.8065034871033,40.6332848197999,10.4166541827435,17.5884001215163,,,,,,,,,,,,
